Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
33509,6.222397860422518,10.236924318216793,Nigeria,Niger,Rafi,KAGARA GARI,1263.4448670000,3029,435,218,71.799999999999997,52,58,136,84,none,grid,grid,7670
33512,4.283866681696287,10.265960007081377,Nigeria,Niger,Borgu,SHAGUNU,1292.2687040000,3032,-,223,62.700000000000003,53,50,104,89,none,none,mini-grid,84650
33539,6.052093514827952,9.308145052632705,Nigeria,Niger,Gbako,BATAKO,2267.4751980000,3059,408,391,69.700000000000003,96,102,224,137,none,grid,grid,1900
33574,5.79964400314785,8.776482945753482,Nigeria,Niger,Mokwa,MUREGI,1441.1918630000,3094,386,248,78.799999999999997,69,102,272,104,none,mini-grid,intercon,38870
33594,7.125001235673357,9.37293954641323,Nigeria,Niger,Gurara,SHAKO,975.2064943000,3114,352,168,72.200000000000003,52,78,160,68,none,mini-grid,intercon,22470
33611,6.156101245370204,9.621853192377854,Nigeria,Niger,Wushishi,SABON GARI,1023.2462230000,3131,417,176,67.700000000000003,54,60,136,76,none,none,grid,4940
33643,3.665673914655618,10.240325186734122,Nigeria,Niger,Borgu,BABANNA,1378.7402160000,3163,-,238,68.200000000000003,75,80,200,101,none,mini-grid,mini-grid,168220
33645,4.528834833892658,9.958087212761804,Nigeria,Niger,Borgu,KARABONDE,1883.1573680000,3165,367,325,63.200000000000003,80,78,152,121,none,grid,grid,40880
33649,3.830513129181962,10.435191553322763,Nigeria,Niger,Borgu,BABANNA,5241.1344100000,3169,-,904,69.299999999999997,221,222,544,322,mini-grid,mini-grid,intercon,139200
33738,6.961981672835486,9.287346673024217,Nigeria,Niger,Gurara,LAMBATA,1325.8965140000,3258,345,229,69.400000000000006,69,82,184,96,none,grid,grid,3120
33785,4.594060792425733,10.713456280491744,Nigeria,Niger,Agwara,KASHINI,2450.0261680000,3305,313,422,70.500000000000000,107,108,240,146,none,none,grid,111500
33817,7.037676578738187,9.440839297081748,Nigeria,Niger,Pailoro,CHIMBI,1921.5891510000,3337,349,331,72.599999999999994,89,124,264,129,none,grid,grid,5250
33825,6.763892776585707,9.423168904086639,Nigeria,Niger,Pailoro,GWAM,3651.0193870000,3345,335,629,69.400000000000006,152,164,352,223,none,grid,grid,2750
33843,6.777113947938746,8.641244997220848,Nigeria,Niger,Lapai,YABA,1301.8766500000,3363,453,224,58.200000000000003,58,40,120,82,none,none,grid,48720
33859,6.494985007594983,9.607731673261732,Nigeria,Niger,Chanchaga,LIMAWA \B\,1763.0580460000,3379,317,304,64.099999999999994,116,136,296,151,none,grid,grid,3220
33863,6.398840007890942,9.556165006561846,Nigeria,Niger,Bosso,BEJI,1354.7203510000,3383,446,234,70.500000000000000,58,62,136,80,none,grid,grid,8720
33892,6.163620008617849,9.798825006739712,Nigeria,Niger,Wushishi,ZUNGERU,7008.9964290000,3412,423,1208,69.200000000000003,292,326,656,445,none,grid,grid,1450
47258,5.060228678001018,9.300043821939999,Nigeria,Niger,Mokwa,RABBA/NDAYAKO,77625.0000000000,3498,378,13384,56.299999999999997,5244,4612,13328,6662,mini-grid,intercon,intercon,24880
47265,4.501672626818725,9.890291061023921,Nigeria,Niger,Borgu,NEW BUSSA,76743.7500000000,3505,367,13232,68.500000000000000,5143,6552,15176,7134,mini-grid,intercon,intercon,50620
47266,4.538255039000535,9.857875908216501,Nigeria,Niger,Borgu,RIVERINE,24705.0000000000,3506,367,4259,48.000000000000000,1665,1278,2560,2093,mini-grid,intercon,intercon,53410
47272,4.408674730311107,9.904966278347453,Nigeria,Niger,Borgu,WAWA,23145.0000000000,3512,367,3991,64.599999999999994,1176,1318,2880,1579,mini-grid,intercon,intercon,57410
