,Unnamed: 0,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m,demand_cat_4,demand_cat_2
1187,1881,373,41220,6.368880681,13.59879204,Nigeria,Sokoto,Sabon Birni,S/BIRNI EAST,1181.566489,7350,67,241,63.4,75,62,192,103,none,none,grid,11210,3,0
1188,595,292,32306,6.366499142,9.635659633,Nigeria,Niger,Bosso,KAMPALA,1176.973355,1826,442,203,68.6,56,84,168,81,none,grid,grid,3390,2,0
1189,1550,42,40533,4.68068592,12.38755661,Nigeria,Sokoto,Tambuwal,TAMBUWAL/SHINFIRI,1175.842258,6663,156,240,67.1,81,70,192,98,none,none,grid,4560,2,0
1190,785,81,38301,9.397237004,8.952641602,Nigeria,Plateau,Shendam,PANGSHOM,1175.263268,3634,283,222,71.7,55,60,136,83,none,none,grid,8640,2,0
1191,1872,364,41207,5.39549354,13.57887052,Nigeria,Sokoto,Gawabawa,DARNA/ SABON GARI,1174.477043,7337,141,240,72.2,73,72,232,102,none,grid,grid,18600,3,0
1192,1106,402,39275,9.977611144,9.204395171,Nigeria,Plateau,Wase,SALUWE,1168.494096,4608,215,220,69.9,59,94,184,84,none,mini-grid,intercon,9010,2,0
1193,2024,516,41728,4.948755893,13.03882462,Nigeria,Sokoto,Silame,SILAME,1167.665707,7858,95,238,68.5,56,58,128,81,none,grid,grid,21160,2,0
1194,1987,479,41568,5.640075471,13.38280736,Nigeria,Sokoto,Goronyo,KAGARA,1167.665707,7698,26,238,73.7,56,60,144,86,none,grid,grid,2400,2,0
1195,1866,358,41195,4.63176198,13.55132197,Nigeria,Sokoto,Gudu,BALLE,1167.190923,7325,123,238,71.3,57,58,136,83,none,none,grid,11610,2,0
1196,326,23,31345,5.781617225,8.882086657,Nigeria,Niger,Mokwa,GBARA,1162.561436,865,386,200,69.6,64,78,160,86,none,none,grid,20680,2,0
1197,949,245,38714,8.999554278,9.151103648,Nigeria,Plateau,Bokkos,MUSHERE  WEST,1160.047151,4047,227,219,67.9,54,58,120,77,none,none,grid,17720,2,0
1198,1421,173,34633,2.885991125,7.592418595,Nigeria,Ogun,Imeko-Afon,OKE AGBEDE/MORIWI/MATALE,1158.82499,6009,605,193,68.4,53,54,120,70,none,none,grid,19990,2,0
1199,1921,413,41288,5.470480145,13.65451306,Nigeria,Sokoto,Illela,TOZAI,1157.24012,7418,161,236,66.4,70,74,168,100,none,mini-grid,intercon,21380,2,0
1200,1171,467,39568,9.349455764,9.218439822,Nigeria,Plateau,Pankshin,CHIP,1157.231502,4901,281,218,73.9,54,68,144,79,none,mini-grid,intercon,13960,2,0
1201,1937,429,41307,5.624529423,13.68592258,Nigeria,Sokoto,Gada,KADASSAKA,1156.397688,7437,36,236,73.3,56,58,152,87,none,none,grid,9600,2,0
1202,1071,367,39096,9.263016776,9.287496133,Nigeria,Plateau,Pankshin,JIBLIK,1154.415854,4429,272,218,70.6,54,60,128,85,none,none,grid,11040,2,0
1203,1173,469,39584,9.234603949,9.021613536,Nigeria,Plateau,Qua''an Pan',KWA,1154.415854,4917,274,218,82.4,54,68,200,79,none,grid,grid,10470,2,0
