,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
564,261,32134,5.166392300445206,11.223718015800848,Nigeria,Niger,Rijau,MANGA/USHE,1023.246223,1654,411,176,77.2,64,104,240,83,none,mini-grid,intercon,14500
688,385,33611,6.156101245370204,9.621853192377854,Nigeria,Niger,Wushishi,SABON GARI,1023.246223,3131,417,176,67.7,54,60,136,76,none,none,grid,4940
1738,230,40907,4.904217692202293,13.255776523235427,Nigeria,Sokoto,Binji,JAMMALI,1022.60721,7037,92,209,75.7,68,68,192,84,none,none,grid,4050
1286,38,34059,3.881837277962404,6.7202949039255,Nigeria,Ogun,Odogbolu,ALA/IGBILE,1022.492638,5435,685,170,61.4,67,82,160,84,none,grid,grid,7880
1845,337,41153,6.385595883595275,13.529939355149724,Nigeria,Sokoto,Sabon Birni,S/BIRNI EAST,1021.707493,7283,73,209,78.79999999999998,53,56,144,73,none,none,grid,4290
2000,492,41615,5.48663669622837,13.638232659031983,Nigeria,Sokoto,Illela,G/ HAMMA,1021.707493,7745,151,209,81.2,66,68,264,88,none,mini-grid,intercon,9040
2027,519,41766,5.579414826806553,12.527863993215012,Nigeria,Sokoto,Tureta,GIDAN KARE/BIMASA,1021.707493,7896,30,209,61.3,52,38,104,76,none,none,grid,8650
1914,406,41274,5.31356476810861,13.638134352779304,Nigeria,Sokoto,Illela,G/ KATTA,1020.428505,7404,157,208,68.7,86,96,224,104,none,none,grid,5690
563,260,32133,4.940308396677704,11.203409452393243,Nigeria,Niger,Rijau,DUKKU,1018.44225,1653,-,176,72.4,55,64,160,73,mini-grid,mini-grid,mini-grid,41510
1474,226,34927,4.506697162241646,6.46937394538823,Nigeria,Ogun,Ogun waterside,AYEDE/LOMIRO,1018.232252,6303,694,170,64.2,51,62,128,70,none,none,grid,45870
1682,174,40788,4.956100451411555,13.09158257694124,Nigeria,Sokoto,Wamako,BUNKARI,1016.647426,6918,89,207,69.2,51,54,120,75,none,none,grid,11430
847,143,38437,10.357919997613823,9.473339785117892,Nigeria,Plateau,Kanam,GARGA,1016.138104,3770,218,192,68.7,55,64,152,78,none,none,grid,50170
2017,509,41696,6.405684326351273,13.372686955826532,Nigeria,Sokoto,Sabon Birni,GANGARA,1014.757102,7826,74,207,72.09999999999998,50,50,120,73,none,none,grid,4250
1370,122,34352,3.12292675828808,6.732110696478718,Nigeria,Ogun,Ado-Odo/Ota,ILOGBO,1013.971866,5728,641,169,62.8,66,82,168,81,none,none,grid,7610
